"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","contrast"
-0.915025879596755,1.76095480418808,-1.34215671916278,0.187388303729251,0.999984452942187,-5.12371815054781,"Crlf1","tumor_vs_healthy_12h"
-1.21299054349569,0.84223245293091,-1.34202766469514,0.187429772349646,0.999984452942187,-5.12387653409076,"Prdm6","tumor_vs_healthy_12h"
0.964470764352226,1.72263038716901,1.34198159594579,0.187444577164766,0.999984452942187,-5.12393306914241,"Mapk12","tumor_vs_healthy_12h"
1.02088162451873,0.394843722646384,1.34151284101211,0.18759526890883,0.999984452942187,-5.1245082200867,"Cdc34-ps","tumor_vs_healthy_12h"
-1.03873358922192,2.93640721158284,-1.34094235784373,0.187778788816547,0.999984452942187,-5.125207943802,"Sncaip","tumor_vs_healthy_12h"
-1.06615465172955,2.15439779636277,-1.34045931007355,0.187934289083444,0.999984452942187,-5.12580021340891,"Cchcr1","tumor_vs_healthy_12h"
-0.55040774004997,6.37223029084459,-1.33992772833198,0.188105527269947,0.999984452942187,-5.12645176777538,"Hook3","tumor_vs_healthy_12h"
0.92842710651939,1.19568535919235,1.33986317030924,0.188126331460915,0.999984452942187,-5.12653087996229,"Nutf2-ps1","tumor_vs_healthy_12h"
-0.351226510602652,8.16651221573192,-1.33912256316596,0.188365122561813,0.999984452942187,-5.12743820508199,"Ctnna1","tumor_vs_healthy_12h"
-1.1365281446143,0.770424027171386,-1.33910558216568,0.188370600403771,0.999984452942187,-5.1274590033476,"Tctn1","tumor_vs_healthy_12h"
1.17890414415391,3.11190285727894,1.33833662194371,0.188618784605867,0.999984452942187,-5.12840057274374,"Col5a3","tumor_vs_healthy_12h"
1.12330307006846,0.842594479028518,1.33811235333086,0.188691215153258,0.999984452942187,-5.12867509090208,"Gm6851","tumor_vs_healthy_12h"
-1.22195448523761,2.17733281997223,-1.33766052711614,0.188837203199199,0.999984452942187,-5.12922802664568,"Fbxl22","tumor_vs_healthy_12h"
-0.402372528293615,8.52669634434073,-1.33753201425155,0.188878742363678,0.999984452942187,-5.12938526719459,"Nrp2","tumor_vs_healthy_12h"
-0.760685230052957,4.56705515100913,-1.33740448883357,0.188919969276928,0.999984452942187,-5.12954128604195,"Tsc1","tumor_vs_healthy_12h"
0.562409215044627,7.17976611401949,1.33655977089036,0.18919322709618,0.999984452942187,-5.13057440199531,"Anxa1","tumor_vs_healthy_12h"
-0.522504637927047,7.84753459402079,-1.33634915983072,0.18926140480428,0.999984452942187,-5.13083189372049,"Purb","tumor_vs_healthy_12h"
0.836024778229411,4.25133743159173,1.3354877039343,0.189540465897776,0.999984452942187,-5.13188472157326,"Ifi35","tumor_vs_healthy_12h"
1.19379543252471,2.01503597507493,1.33536211518806,0.189581175576849,0.999984452942187,-5.13203815843482,"Tsen2","tumor_vs_healthy_12h"
